Vietnamese, Bahnar
Các con trai của Gia-phết là:,Kon drŏ-nglo Japhet:
"Gô-me, Ma-gót, Ma-đai, Gia-van, Tu-banh, Mê-siếc và Ti-ra","Gômer, Magok, Mađai, Jawan, Tubal, Mêsek păng Tiras"
Các con trai của Gô-me là:,Kon drŏ-nglo Gômer:
"Ách-kê-na, Đi-phát và Tô-ga-ma","Askenas, Diphat păng Tôgarma"
Các con trai của Cham là:,Kon drŏ-nglo Cham:
"Cúc, Mích-ra-im, Phút và Ca-na-an","Kus, Misraim, Phut păng Kanaan"
Các con trai của Cúc là:,Kon drŏ-nglo Kus:
"Sê-ba, Ha-vi-la, Sáp-ta, Ra-ê-ma và Sáp-tê-ca","Sêba, Hawila, Sapta, Raama păng Saptêka"
Các con trai của Ra-ê-ma là:,Kon drŏ-nglo Raama:
Sê-ba và Đê-đan,Seba păng Đêdan
Cúc sinh Nim-rốt;,Kus kư̆m pơjing Nimrôt
người trở thành dũng sĩ đầu tiên trên đất,bơngai nuih blŭng-a kơpal teh âu
Mích-ra-im sinh,Misraim pơjing adrĕch
Ca-na-an sinh,Kanaan pơjing Siđôn
"Si-đôn, là trưởng nam, và Hếch",kon drŏ-nglo kơdră sư păng adrĕch Hêt
A-bác-sát sinh Sê-lách;,Apaksat pơjing Sêla;
Sê-lách sinh Hê-be,Sêla pơjing Eber
Hê-be sinh hai con trai;,Eber pơjing 'bar 'nu kon drŏ-nglo;
"một đứa tên Bê-lét vì vào thời này đất đã bị phân chia, đứa kia tên là Giốc-tan",minh 'nu anăn sư Pêlek yua kơ lăm jơhnơr sư đe asong băl teh; oh sư anăn Jôktan
Giốc-tan sinh,"Jôktan pơjing Almodat,"
"Ô-phia, Ha-vi-la và Giô-báp","Ôphir, Hawila, păng Jôbap"
Tất cả những người đó là con trai của Giốc-tan,Đĭ-đăng lu bơngai 'nâu kon drŏ-nglo Jôktan
Đây là dòng dõi của chúng:,'Nâu jing adrĕch adrung Ismael:
"Con trưởng nam của Ích-ma-ên là: Nê-ba-giốt; kế đến là Kê-đa, Át-bê-ên, Mi-bô-sam","Kon kơdră Ismael noh Nebaiôt; đơ̆ng noh Kêđar, Atbêel, Misam"
"Các con trai do Kê-tu-ra, vợ nhỏ của Áp-ra-ham sinh:","Kêtura akăn tuch tuch Abraham, tơpŭ lu kon drŏ-nglo noh:"
Các con trai của Giốc-san là:,"Mêđan, Miđian, Isbak păng Sua"
Sê-ba và Đê-đan,Jôksan pơjing Sêba păng Đêdan
Áp-ra-ham sinh Y-sác,Abraham pơjing Isăk
Các con trai của Y-sác là:,Kon drŏ-nglo Isăk noh:
Ê-sau và Y-sơ-ra-ên,Êsâu păng Isơrael
Các con trai của Ê-sau là:,Kon drŏ-nglo Êsâu noh:
"Ê-li-pha, Rê-u-ên, Giê-úc, Gia-lam và Cô-ra","Êliphas, Rêuel, Jêrus, Jalam păng Kôra"
Các con trai của Rê-u-ên là:,Kon drŏ-nglo Rêuel noh:
"Na-hát, Xê-rách, Sam-ma và Mích-xa","Nahat, Sêra, Samma păng Misa"
Các con trai của Sê-i-rơ là:,Bơngai oei lăm teh đak Sêir char Êdom kon drŏ-nglo Sêir noh:
"Lô-than, Sô-banh, Xi-bê-ôn, A-na, Đi-sôn, Ét-xe và Đi-san","Lôthan, Sôbal, Sibêôn, Ana, Dison, Êser păng Disan"
Các con trai của Lô-than là:,Kon drŏ-nglo Lôthan:
Hô-ri và Hô-man; Thim-na là em gái Lô-than,Hôri păng Hôman; gah Thimna oh drŏ-kăn Lôthan
Các con trai của Sô-banh là:,Kon drŏ-nglo Sôbal noh:
"A-li-an, Ma-na-hát, Ê-ban, Sê-phi và Ô-nam","Awan, Manahat, Êbal, Sipho păng Ônam"
Các con trai của Xi-bê-ôn là:,Kon drŏ-nglo Sibêôn noh:
Ai-gia và A-na,Aiyah păng Ana
Con trai của A-na là:,Kon drŏ-nglo Ana noh:
Các con trai của Đi-sôn là:,Kon drŏ-nglo Đisôn noh:
"Ham-ran, Ếch-ban, Dít-ran và Kê-ran","Hemran, Êsban, Ithran păng Kêran"
Các con trai của Ét-xe là:,Kon drŏ-nglo Êser noh:
"Binh-han, Xa-van và Gia-a-can","Bilhan, Sawan păng Jaakan"
Các con trai của Đi-san là:,Kon drŏ-nglo Disan noh:
Đây là các vua cai trị vùng Ê-đôm trước khi một vua nào trong các vua Y-sơ-ra-ên trị vì:,"Adrol kon pơlei Isơrael ưh tam đei pơtao pơgơ̆r, 'nâu boih anăn lu pơtao pơgơ̆r, dêh Eđôm:"
"Bê-la, con của Bê-ô; tên của thành là Đin-ha-ba",Bêla kon drŏ-nglo Bêôr; anăn pơlei tih sư Dinhaba
"Khi Bê-la chết, Giô-báp, con trai Xê-rách, người Bốt-ra, kế vị","Pơtao Bêla lôch, Jôbap, kon drŏ-nglo Sêra, bơngai pơlei Bôsra, iung pơm pơtao"
"Khi Giô-báp chết, Hu-sam, người xứ Thê-man, kế vị","Pơtao Jôbap lôch, Husam, bơngai dêh Thêman, iung pơm pơtao"
"Khi Hu-sam chết, Ha-đát, con trai Bê-đát, kế vị; vua này đánh bại người Ma-đi-an tại đồng Mô-áp; thành của người tên là A-vít","Pơtao Husam lôch, Hađat, kon drŏ-nglo Bêđat, iung pơm pơtao; pơtao 'nâu boih mă tơblah kon pơlei Miđian tơ anih tơmăn glă char Môap; anăn pơlei noh Awit"
"Khi Ha-đát chết, Sam-la, người Ma-rê-ca, kế vị","Pơtao Hađat lôch, Samla, bơngai pơlei Masrêka, iung pơm pơtao"
"Khi Sam-la chết, Shau-lơ, người Rê-hô-bốt thuộc vùng sông kế vị","Pơtao Samla lôch, Sôl bơngai pơlei Rêhôbôt, oei jih đak krong iung pơm pơtao"
"Khi Shau-lơ chết, Ba-anh Ha-nan, con trai Hạt-bồ, kế vị","Pơtao Sôl lôch, Baal Hanan, kon drŏ-nglo Akbôr iung pơm pơtao"
"Khi Ba-anh Ha-nan chết, Ha-đát kế vị; tên thành của người là Pha-i; vợ người tên Mê-hê-ta-bên, con gái của Mát-rết, cháu của Mê-xa-háp","Pơtao Baal Hanan lôch, Hađat iung pơm pơtao; anăn pơlei tih sư Pau; na akăn sư anăn Mêhêtabel, kon drŏ-kăn Matrêt, kon yă Mê Sahap"
